label,text,answer
3,"This state's been ""on my mind"" since it entered the Union 3 times, in 1788, 1868 & 1870",Georgia
2,Western novelist Francis Harte's middle name,Bret
1,"This ""Billy the Kid"" composer won an Oscar for the score of ""The Heiress""",(Aaron) Copland
1,"Noted with a dot on the score, it's the opposite of legato",Staccato
4,"If the solar system's 9 planets were lined up smallest to largest, Earth would be this number in line",fifth
2,"Nikos Kazantzakis continued the adventures of this Homeric hero in a 33,333-line sequel",Odysseus
3,He obtained a charter to establish Georgia in 1732 & founded Savannah a year later,(James) Oglethorpe
1,"Saint-Saens ""Danse"" heard here",Danse Macabre
3,President under whom the U.S. gave full recognition to Communist China,Jimmy Carter
2,Aeschylus' dramatic account of the Titan who was condemned for giving fire to mere mortals,Prometheus Bound
3,In 1785 he graduated 42nd out of 58 at his military school in Paris,Napoléon Bonaparte
2,"Dorothy Livesay, a native of this North American country, won the Governor General's Award for poetry twice",Canada
2,"After he gave up writing novels, he published his ""Wessex Poems"" in 1898",Thomas Hardy
3,"On Sept. 3, 1996 the U.S. launched cruise missiles against this country for attacking Kurd territory",Iraq
3,"On August 5, 1498 he landed on Venezuela's Paria Peninsula, becoming the first  European to reach South America",Columbus
1,"For 10 years, his widow, Constanze, lived in Copenhagen with her second husband, Georg Nissen",W.A. Mozart
4,"This bird, ""laughing jackass"", is often heard on soundtracks to represent jungle sounds",kookaburra
2,Fernando Pessoa of Lisbon & Machado de Assis of Rio de Janeiro were great writers in this language,Portuguese
3,King Gustav III restored autocratic rule to this country in the 18th century,Sweden
2,"This British poet wrote, ""When I consider how my light is spent, Ere half my days, in this dark world and wide""",John Milton
2,"Published in 1849, ""Redburn: His FIrst Voyage"" was based on this author's first voyage as a cabin boy",Herman Melville
1,The Country Music Hall of Fame has a dress made & worn by this Kentucky-born singer as a 14-year-old newlywed,Loretta Lynn
0,The lowest point in Iran is 92 feet below sea level at the shore of this body of water on its northern border,Caspian Sea
2,"Starting in 1948 at Cornell, he lectured on books written in his native language, like ""Dead Souls"" & ""Anna Karenina""",Vladimir Nabokov
1,"The rock opera ""Rent"" is a reworking of this Puccini opera, set in modern times",La Boheme
3,In World War II only Mexico & this largest Latin American country provided troops to the Allied cause,Brazil
3,"This liner was sunk by the submarine U-20 on May 7, 1915",Lusitania
3,"Besides Frank & Nancy Sinatra, they're the only other father & daughter who each had No. 1 solo hits",Pat & Debby Boone
1,"U is for one of these, with which a conductor may begin a piece",an upbeat
3,"The Not-So-Fast, My Friend Prize of 1948: This man, who fell a surprising 2.2 million votes short to Harry Truman",Dewey
2,"I thought I would sail about a little and see the watery part of the world, says this narrator",Ishmael
0,"Seeing residents huddled around campfires on the shore, Magellan named the region this, meaning ""Land of fire""",Tierra del Fuego
2,"Oliver Wendell Holmes wrote of this ship, ""Oh better that her shattered hulk should sink beneath the wave""",Old Ironsides
1,"Pipe up if you know Bach wrote a ""Little Book"" of 45 Chorales for this instrument",the organ
4,The bugle call that starts the day or the morning ceremony with the flag raising,Reveille
2,"Pope John Paul II's poem ""Easter Vigil 1966"" was first published in this, his native language",Polish
2,"He wrote many short stories with surprise endings including ""The Gift of the Magi""",O. Henry
3,"In order to kill this ""Mad Monk"", Russian conservatives had to poison, shoot & drown him",Rasputin
4,"This mineral, which occurs in such forms as sand & quartz, is the main material in most rocks",Silica
3,"(VIDEO DAILY DOUBLE): ""(Hello, I'm Patrick Duffy)  According to Plato, Solon discovered the legend of this lost continent while on a trip to Egypt""",Atlantis
1,Aunt Eller Murphy & Laurey Williams,Oklahoma!
4,In 1698 Thomas Savery designed the first practical engine to run on this power,Steam
2,"English poet who wrote ""Endymion"", ""Hyperion"", and its unfinished revision, ""The Fall of Hyperion""",John Keats
2,"He may have put his rabbit to rest, but in 1996 he published a new family saga, ""In The Beauty Of The Lilies""",John Updike
2,"Fern Hill poet who won the 1929 Nobel Prize after writing ""Death in Venice""",Dylan Thomas Mann
2,"The first line of this Philip Roth novella is ""The first time I saw Brenda she asked me to hold her glasses""","Goodbye, Columbus"
2,"In a 1972 recording, ""An Evening With"" this author, she read excerpts from her famous diary",Anais Nin
3,"In 1981 this country formally annexed the Golan Heights, land it had held militarily since 1967",Israel
0,"This island in the South Pacific is named for the day of its discovery, a religious holiday",Easter Island
1,"Hajj, Caliph of Baghdad & Omar are among the characters in this musical",Kismet
1,"The Roar of the ____, the Smell of the Crowd",Greasepaint
1,"He's been paired musically with Roberta Flack, Celine Dion, Regina Belle & Kenny G on top 40 hits",Peabo Bryson
1,Franco Alfano & Walter Damrosch both composed operas adapted from this 1897 play by Edmond Rostand,Cyrano de Bergerac
4,A phonon is a tiny packet of sound; change 1 letter to get this unit of electromagnetic energy,a photon
4,"Ammonia, widely used as a refrigerant & cleaner, is composed of hydrogen & this element",nitrogen
2,"Writer of ""Ficciones"" Jorge Luis Borges",Argentina
0,"A 7-mile tunnel through this mountain peak connects Italy to Chamonix, France",Mont Blanc
4,"It can be a voracious reader, or a beetle larva that feeds on paper",Bookworm
1,"(Hey, how ya doing, I'm Mark McGrath of Sugar Ray)  It's the title of my band's song that says, ""Once again as predicted left my broken heart open and you ripped it out""",Every Morning
0,"This region in the northeast, also called Tungpei, or ""the northeast"", is a ""candidate"" for having China's best forests",Manchuria
1,"As court singer, the famed Castrato Farinelli soothed the melancholia of this country's King Philip V",Spain
1,"The original ""Fantasia"" included a minor masterpiece, Bach's ""Toccata &"" this ""in D Minor""",Fugue
1,(Sofia of the Clue Crew)  This type of chord is named for what your index finger forms across the strings,bar chord
2,"In his ""Ode on"" this Keats wrote, ""Heard melodies are sweet, but those unheard are sweeter""",A Grecian Urn
2,Julia Ward Howe's visit to the Army of the Potomac in 1861 inspired this famous hymn,The Battle Hymn Of The Republic
2,"She described her work as ""Human nature in the Midland Countries"" & involving ""three or four families in a country village""",Jane Austen
3,"1789: This French landmark is stormed & its governor, killed",the Bastille
1,"The artist known as Pink now spells her professional name using one of these for the ""i""",an exclamation point
3,In 1787 Arthur St. Clair became the first governor of this vast territory north of the Ohio River,Northwest Territory
2,"In 1971, a copy of his original manuscript for  ""The Wasteland"" was published, with an introduction by his widow",T.S. Eliot
4,It's the third-largest planet in our solar system,Uranus
